TOWARIDX;ACTIVE;PRODUCT_CODE;NAME;TAX_ID;UNIT;PRODUCER;CATEGORY
FL58095095/LAN;1;FL58095095/LAN;Zestaw szczypiec VDE FELO kombinerki 180mm obcinaczki boczne 160mm FL58095095;1;kpl;LANGE ŁUKASZUK;Bez kategorii
FL41792191/LAN;1;FL41792191/LAN;Zestaw wkrętaków FELO Ergonic VDE PlusMinus Z1/Z2 FL41792191;1;kpl;LANGE ŁUKASZUK;Bez kategorii
4058075763241/LDV;1;4058075763241/LDV;Lampa ogrodowa LED Smart+ WiFi RGBW USB 5W 270lm 3000K IP44 czarna Ledvance 4058075763241;1;szt;Ledvance;Bez kategorii
4099854487026/LDV;1;4099854487026/LDV;Naświetlacz LED Endura 20W 1800lm 4000K IP44 Ledvance 4099854487026;1;szt;Ledvance;Bez kategorii
4099854236792/LDV;1;4099854236792/LDV;Żarówka LED filament E27 z czujnikiem ruchu 7.3W 806lm 2700K Ledvance 4099854236792;1;szt;Ledvance;Bez kategorii
4099854725623/LDV;1;4099854725623/LDV;Oprawa hermetyczna LED Damp Proof Fit 18-31W 2800-4960lm 4000-6500K IP65 Ledvance 4099854725623;1;szt;Ledvance;Bez kategorii
MAA5016A11/MOR;1;MAA5016A11/MOR;Złączka uniwersalna OTL16-5x 5x1xAl/Cu 1,5-16mm2 1000VAC/1500VDC wielobarwna Morek MAA5016A11;1;szt;MOREK;Bez kategorii
MAA5050A10/MOR;1;MAA5050A10/MOR;Złączka uniwersalna OTL50-5x 5x1xAl/Cu 1,5-50mm2 1000VAC/1500VDC wielobarwna Morek MAA5050A10;1;szt;MOREK;Bez kategorii
MAA5095A10/MOR;1;MAA5095A10/MOR;Złączka uniwersalna OTL95-5x 5x1xAl/Cu 6-95mm2 1000VAC/1500VDC szara Morek MAA5095A10;1;szt;MOREK;Bez kategorii
MAG1251A00/MOR;1;MAG1251A00/MOR;Blok dystrybucyjny HLAK 25 1P 2xAl/Cu 25mm2+16mm2 1000VAC/1500VDC szary Morek MAG1251A00;1;szt;MOREK;Bez kategorii
MAG1251B00/MOR;1;MAG1251B00/MOR;Blok dystrybucyjny HLAK 25 1P 2xAl/Cu 25mm2+16mm2 1000VAC/1500VDC niebieski Morek MAG1251B00;1;szt;MOREK;Bez kategorii
MAG1251G00/MOR;1;MAG1251G00/MOR;Blok dystrybucyjny HLAK 25 1P 2xAl/Cu 25mm2+16mm2 1000VAC/1500VDC zielony Morek MAG1251G00;1;szt;MOREK;Bez kategorii
